release_date,title,budget,revenue
2012-06-01,For Greater Glory - The True Story of Cristiada,12.0,9.622846
2012-06-01,Rowdy Rathore,6.7,31.0
2012-06-06,Madagascar 3: Europe's Most Wanted,145.0,746.921274
2012-06-06,Eega,5.99,19.45
2012-06-08,Safety Not Guaranteed,0.75,4.007792
2012-06-13,Rock of Ages,75.0,59.418613
2012-06-14,That's My Boy,70.0,58.058367
2012-06-15,Foodfight!,65.0,0.073706
2012-06-20,Abraham Lincoln: Vampire Hunter,69.0,112.265139
2012-06-21,Brave,185.0,538.983207
2012-06-22,Lay the Favorite,26.35,1.576687
2012-06-22,Gangs of Wasseypur,1.4,4.1
2012-06-22,Seeking a Friend for the End of the World,10.0,9.636289
2012-06-26,Ice Age: Continental Drift,95.0,877.244782
2012-06-26,Bikini Spring Break,0.5,0.5
2012-06-27,The Amazing Spider-Man,215.0,752.215857
2012-06-28,Katy Perry: Part of Me,12.0,32.726956
2012-06-28,Magic Mike,7.0,167.221571
2012-06-29,Ted,50.0,549.368315
2012-06-29,Beasts of the Southern Wild,1.8,21.107746
2012-06-29,People Like Us,16.0,12.434778
2012-07-01,Amour,8.9,29.844753
2012-07-03,A Coffee in Berlin,0.3,2.750275
2012-07-06,Savages,45.0,82.966152
2012-07-13,Cocktail,6.4,18.8
2012-07-13,2016: Obama's America,2.5,33.4
2012-07-16,The Dark Knight Rises,250.0,1084.939099
2012-07-26,The Watch,68.0,68.267862
2012-07-26,Step Up Revolution,33.0,140.470746
2012-08-02,Diary of a Wimpy Kid: Dog Days,22.0,77.112176
2012-08-02,Total Recall,125.0,198.802074
2012-08-03,ParaNorman,60.0,107.139399
2012-08-06,Bachelorette,3.0,11.947954
2012-08-07,Hope Springs,30.0,114.281051
2012-08-08,The Bourne Legacy,130.0,276.572938
2012-08-08,The Expendables 2,100.0,312.573423
2012-08-14,The Bullet Vanishes,12.0,0.117629
2012-08-16,Robot & Frank,2.5,3.325038
2012-08-17,Sparkle,14.0,24.637469
2012-08-22,Hit & Run,2.0,14.4
2012-08-23,The Apparition,17.0,9.627492
2012-08-24,Premium Rush,35.0,31.083599
2012-08-28,The Hunt,3.8,16.8
2012-08-29,Lawless,26.0,53.67658
2012-08-30,The Possession,14.0,85.446075
2012-08-31,"Tad, the Lost Explorer",10.5,23.0
2012-08-31,"For a Good Time, Call...",0.85,1.243961
2012-08-31,The Act of Killing,1.0,0.444575
2012-08-31,Fire with Fire,20.0,4.636169
2012-09-01,The Iceman,20.0,1.969193
2012-09-04,Love Is All You Need,5.5,10.016934
2012-09-05,Pieta,0.103,3.62333
2012-09-05,Voracious,0.011178,0.034659
2012-09-05,Captive,0.01118,0.024591
2012-09-07,The Master,32.0,28.25806
2012-09-07,Seven Psychopaths,15.0,19.422261
2012-09-07,Dredd,50.0,41.037742
2012-09-07,The Words,6.0,13.231461
2012-09-08,Silver Linings Playbook,21.0,205.738714
2012-09-08,Quartet,11.0,59.520298
2012-09-09,Byzantium,10.0,0.089237
2012-09-09,The Impossible,42.0,180.274123
2012-09-10,The Lords of Salem,1.5,1.165882
2012-09-11,The Sweeney,3.7305,6.294161
2012-09-11,Disconnect,10.0,3.428048
2012-09-12,Resident Evil: Retribution,65.0,240.159255
2012-09-12,Smashed,0.5,0.376597
2012-09-12,Aftershock,2.0,0.05851
2012-09-13,Twice Born,13.0,0.018295
2012-09-14,English Vinglish,2.84,11.62
2012-09-14,Barfi,4.437508,2.804874
2012-09-14,The Paperboy,12.5,1.353868
2012-09-14,Arbitrage,12.0,35.485056
2012-09-20,The Perks of Being a Wallflower,13.0,33.4
2012-09-20,Hotel Transylvania,85.0,358.375603
2012-09-20,Killing Them Softly,15.0,37.930465
2012-09-20,End of Watch,7.0,48.126384
2012-09-21,House at the End of the Street,6.9,44.287131
2012-09-23,Promised Land,15.0,8.138788
2012-09-26,Looper,30.0,47.042
2012-09-27,Taken 2,45.0,376.141306
2012-09-27,Upside Down,60.0,8.106475
2012-09-28,Pitch Perfect,17.0,115.350426
2012-10-04,Frankenweenie,39.0,35.287788
2012-10-04,Soulless,2.8,13.21898
2012-10-04,Universal Soldier: Day of Reckoning,11.5,1.402307
2012-10-10,Silent Hill: Revelation 3D,20.0,52.302796
2012-10-11,Argo,44.5,232.324128
2012-10-11,The Snow Queen,7.0,12.4
2012-10-11,A Company Man,3.5,7.339398
2012-10-14,Zaytoun,8.0,0.04233
2012-10-17,Paranormal Activity 4,5.0,142.817992
2012-10-18,Alex Cross,45.0,30.353232
2012-10-19,Pizza,0.24,2.8
2012-10-20,Best Man Down,1.5,0.001938
2012-10-25,Skyfall,200.0,1108.561013
2012-10-25,Fun Size,14.0,11.417362
2012-10-26,Cloud Atlas,102.0,130.482868
2012-11-01,Wreck-It Ralph,165.0,471.222889
2012-11-01,Rita's Last Fairy Tale,0.2,0.486937
2012-11-01,Burn,0.225,0.1113
2012-11-02,The Man with the Iron Fists,15.0,15.608545
2012-11-02,Flight,31.0,161.772375
2012-11-03,Redd Inc.,0.5,1.0
2012-11-08,Deadfall,12.0,0.066351
2012-11-09,Lincoln,65.0,275.29345
2012-11-09,The Precocious and Brief Life of Sabina Rivas,4.62,2.395
2012-11-13,The Twilight Saga: Breaking Dawn - Part 2,120.0,829.0
2012-11-20,Life of Pi,120.0,609.016565
2012-11-21,Rise of the Guardians,145.0,306.94167
2012-11-21,Red Dawn,65.0,44.806783
2012-11-26,The Hobbit: An Unexpected Journey,250.0,1021.103568
2012-11-30,Tutto tutto niente niente,5.57975,8.9276
2012-12-12,Lost in Thailand,2.2,208.0
2012-12-12,Ernest & Celestine,12.516654,8.10916
2012-12-18,Les Misérables,61.0,441.80977
2012-12-19,Zero Dark Thirty,40.0,132.820716
2012-12-19,The Guilt Trip,40.0,41.863726
2012-12-20,This Is 40,35.0,88.058786
2012-12-20,Jack Reacher,60.0,218.340595
2012-12-20,The Guillotines,15.0,0.00529
2012-12-21,Not Fade Away,20.0,0.610792
2012-12-22,The Worst Christmas of My Life,6.8435,10.703234
2012-12-25,Parental Guidance,25.0,119.772232
2012-12-25,Django Unchained,100.0,425.368238
2012-12-26,Maniac,6.0,0.031081
2012-12-27,"Mommies, Happy New Year!",2.0,11.666088
2013-01-01,Movie 43,6.0,32.438988
2013-01-01,The Best Offer,13.5,19.255873
2013-01-03,Phantom,10.0,1.034589
2013-01-03,Texas Chainsaw 3D,20.0,47.241945
2013-01-08,The Grandmaster,3.86,64.076736
2013-01-10,Gangster Squad,60.0,105.200903
2013-01-11,A Haunted House,2.5,60.141683
2013-01-17,Hansel & Gretel: Witch Hunters,50.0,224.803475
2013-01-17,Mama,15.0,146.497771
2013-01-17,The Hijack That Went South,1.8,0.532269
2013-01-18,Broken City,56.0,19.701164
2013-01-23,Parker,35.0,46.216641
2013-01-24,Sweetwater,7.0,0.006147
2013-01-24,Spring Breakers,5.0,31.724284
2013-01-25,Vishwaroopam,17.0,51.0
2013-01-30,The Berlin File,9.0,48.96521
2013-01-31,Bullet to the Head,55.0,9.489829
2013-01-31,Warm Bodies,35.0,116.980662
2013-02-06,A Good Day to Die Hard,92.0,304.654182
2013-02-07,Side Effects,30.0,63.372757
2013-02-07,Special 26,7.1,18.0
2013-02-07,Safe Haven,28.0,97.59414
2013-02-07,Identity Thief,35.0,173.96501
2013-02-13,Beautiful Creatures,60.0,60.052138
2013-02-13,Long Live Freedom,5.0,0.048125
2013-02-14,Escape from Planet Earth,40.0,74.597643
2013-02-21,Snitch,35.0,42.930462
2013-02-21,Dark Skies,3.5,25.174316
2013-02-27,Jack the Giant Slayer,195.0,197.687603
2013-02-27,Hard to Be a God,7.0,1.310673
2013-02-28,The Last Exorcism Part II,5.0,15.179302
2013-02-28,Stoker,12.0,12.077441
2013-03-01,21 & Over,13.0,48.065672
2013-03-07,Oz: The Great and Powerful,200.0,491.868548
2013-03-08,I'm So Excited!,5.0,11.724119
2013-03-09,No One Lives,2.9,0.074918
2013-03-13,Camille Claudel 1915,3.512454,0.11586
2013-03-13,Camille Claudel 1915,3.512454,0.11586
2013-03-14,The Call,13.0,68.572378
2013-03-14,The Incredible Burt Wonderstone,30.0,27.437881
2013-03-15,Welcome to the Punch,8.5,0.009747
2013-03-20,The Croods,135.0,585.178928
2013-03-20,The Place Beyond the Pines,15.0,35.485608
2013-03-20,Olympus Has Fallen,70.0,161.02564
2013-03-20,Finding Mr. Right,4.881,81.35
2013-03-21,Amen,0.11,0.27
2013-03-21,Admission,13.0,18.0
2013-03-22,The Host,44.0,63.327201
2013-03-26,G.I. Joe: Retaliation,130.0,371.876278
2013-03-27,Trance,20.0,24.261569
2013-04-03,Adore,16.0,0.318982
2013-04-04,Lootera,4.1,4.3
2013-04-05,Evil Dead,17.0,97.542952
2013-04-05,Before Midnight,3.0,11.176469
2013-04-05,Upstream Color,0.1,0.444098
2013-04-10,Oblivion,120.0,286.168572
2013-04-11,Scary Movie 5,20.0,78.378744
2013-04-12,42,40.0,95.020213
2013-04-18,Pain & Gain,25.0,86.175291
2013-04-18,Iron Man 3,200.0,1215.439994
2013-04-19,Home Run,1.2,2.86102
2013-04-25,The Big Wedding,35.0,21.819348
2013-04-25,Aashiqui 2,1.3,16.0
2013-05-01,Mud,10.0,21.5877
2013-05-01,Soodhu Kavvum,0.31,12.0
2013-05-02,What Maisie Knew,6.0,1.066471
2013-05-05,Star Trek Into Darkness,190.0,467.365246
2013-05-06,Fast & Furious 6,160.0,788.67985
2013-05-07,Hummingbird,20.0,8.352885
2013-05-10,The Great Gatsby,105.0,351.040419
2013-05-15,Epic,100.0,268.426634
2013-05-17,The Past,11.0,10.631747
2013-05-21,The Great Beauty,12.4,8.371085
2013-05-23,The Hangover Part III,103.0,362.000072
2013-05-23,On the Job,1.052753,0.466088
2013-05-26,Behind the Candelabra,23.0,15.6
2013-05-29,Now You See Me,75.0,117.698894
2013-05-30,Only God Forgives,4.8,10.337387
2013-05-30,After Earth,130.0,243.843127
2013-05-31,The East,6.5,2.40151
2013-05-31,Yeh Jawaani Hai Deewani,7.7,46.0
2013-05-31,The Purge,3.0,89.328627
2013-06-06,The Way Way Back,4.6,23.198652
2013-06-07,The Internship,58.0,44.0
2013-06-12,Man of Steel,225.0,662.845518
2013-06-12,The Bling Ring,15.0,19.145732
2013-06-12,This Is the End,32.0,126.041322
2013-06-13,Legends of Oz: Dorothy's Return,70.0,18.662027
2013-06-20,World War Z,200.0,531.865
2013-06-20,Monsters University,200.0,743.559607
2013-06-21,Raanjhanaa,6.4,18.0
2013-06-25,Despicable Me 2,76.0,970.761885
2013-06-27,White House Down,150.0,205.366737
2013-06-27,The Heat,43.0,158.67418
2013-07-03,The Lone Ranger,255.0,89.28991
2013-07-03,The Immigrant,16.0,5.867686
2013-07-03,Hunting Elephants,2.3,4.5
2013-07-04,Man of Tai Chi,25.0,2.054941
2013-07-11,Grown Ups 2,80.0,246.984278
2013-07-11,Turbo,135.0,282.570682
2013-07-11,Pacific Rim,180.0,407.602906
2013-07-12,Bhaag Milkha Bhaag,4.6,25.0
2013-07-17,Kick-Ass 2,28.0,60.7
2013-07-18,R.I.P.D.,130.0,61.6485
2013-07-18,Underdogs,22.0,24.0
2013-07-18,The Conjuring,13.0,318.000141
2013-07-18,The World's End,20.0,46.089287
2013-07-18,The Frozen Ground,27.22,5.496951
2013-07-18,Khumba,20.0,27.187375
2013-07-20,Instructions Not Included,5.5,99.067206
2013-07-20,The Wind Rises,30.0,117.932401
2013-07-23,The Wolverine,120.0,415.440673
2013-07-24,Alan Partridge: Alpha Papa,4.0,9.8
2013-07-24,The To Do List,1.5,3.566225
2013-07-25,Blue Jasmine,18.0,99.206215
2013-07-29,The Canyons,0.25,0.056825
2013-07-30,The Smurfs 2,105.0,347.434178
2013-08-01,Snowpiercer,39.2,86.758912
2013-08-02,2 Guns,61.0,131.940411
2013-08-02,The Spectacular Now,2.5,6.854611
2013-08-07,Percy Jackson: Sea of Monsters,90.0,174.578751
2013-08-07,Make Your Move,1.5e-05,0.000122
2013-08-07,Elysium,115.0,286.1407
2013-08-07,We're the Millers,37.0,269.994119
2013-08-08,Lovelace,10.0,1.585582
2013-08-09,Chennai Express,18.0,62.0
2013-08-09,In a World...,1.0,2.963902
2013-08-09,Planes,50.0,219.788712
2013-08-14,Paranoia,35.0,13.785015
2013-08-15,Austenland,4.9,2.159041
2013-08-16,Jobs,12.0,35.93141
2013-08-16,The Butler,25.0,115.922175
2013-08-16,About Time,12.0,87.100449
2013-08-21,The Mortal Instruments: City of Bones,60.0,90.565421
2013-08-22,Blood Ties,25.5,2.415472
2013-08-23,Madras Cafe,5.4,6.5
2013-08-29,Getaway,18.0,10.501938
2013-08-30,Wolf Creek 2,8.0,9.630444
2013-08-30,Of Horses and Men,1e-05,1.1e-05
2013-09-02,Rush,38.0,90.247624
2013-09-02,Riddick,38.0,98.337295
2013-09-02,The Sacrament,4.0,0.009221
2013-09-03,Empire State,11.0,3.639345
2013-09-06,Bad Words,9.5,7.8
2013-09-07,Space Pirate Captain Harlock,30.0,17.137302
2013-09-07,Dallas Buyers Club,5.0,55.198285
2013-09-07,Begin Again,8.0,63.464861
2013-09-07,What If,11.0,7.847
2013-09-08,Belle,10.9,16.50546
2013-09-08,Oculus,5.0,44.030246
2013-09-09,Third Person,28.0,1.749201
2013-09-11,Jimmy P.,10.0,0.030283
2013-09-12,Machete Kills,12.0,15.008161
2013-09-13,Grand Masti,5.5,47.0
2013-09-13,The Family,30.0,36.894225
2013-09-14,Life of Crime,12.0,0.265452
2013-09-18,Prisoners,46.0,122.126687
2013-09-19,Diana,15.0,21.766271
2013-09-19,The Lunchbox,1.0,4.235151
2013-09-21,Battle of the Year,20.0,16.549477
2013-09-21,Nebraska,12.0,17.654912
2013-09-23,Filth,5.0,9.114264
2013-09-24,Runner Runner,30.0,62.616646
2013-09-25,Metallica: Through the Never,18.0,7.972967
2013-09-26,Cloudy with a Chance of Meatballs 2,78.0,248.384621
2013-09-26,Nothing Left to Fear,3.0,1.675381
2013-09-27,Gravity,105.0,716.392705
2013-09-27,Baggage Claim,8.5,22.456509
2013-09-28,Nurse 3-D,1e-05,10.0
2013-10-02,Parkland,10.0,0.653651
2013-10-06,Inside Llewyn Davis,11.0,32.935319
2013-10-09,Escape Plan,50.0,122.915111
2013-10-09,Stalingrad,30.0,68.129518
2013-10-09,Blue Is the Warmest Color,4.3,10.165694
2013-10-10,Delivery Man,26.0,51.164106
2013-10-10,Captain Phillips,55.0,95.0
2013-10-11,CBGB,5.0,0.0404
2013-10-11,The Fifth Estate,28.0,8.555008
2013-10-13,Mindscape,4.357373,1.2
2013-10-16,Carrie,30.0,82.394288
2013-10-16,The Young and Prodigious T.S. Spivet,33.0,9.494789
2013-10-17,Gimme Shelter,7.5,1.35991
2013-10-18,All Is Lost,9.0,6.10872
2013-10-18,12 Years a Slave,20.0,187.0
2013-10-19,Lucia,0.079,0.17
2013-10-22,Bad Grandpa,15.0,151.831537
2013-10-23,Ender's Game,110.0,125.537191
2013-10-25,The Counselor,25.0,71.009334
2013-10-25,Ida,2.15928,15.298355
2013-10-25,The Face of Love,4.0,0.350006
2013-10-29,Thor: The Dark World,170.0,644.571402
2013-10-30,Free Birds,55.0,110.0
2013-10-31,Arrambam,9.2,21.0
2013-10-31,Last Vegas,28.0,134.40245
2013-11-01,Philomena,12.0,100.129872
2013-11-01,A Perfect Man,5.0,0.000388
2013-11-11,Ragnarok,6.5,3.721345
2013-11-14,Oldboy,30.0,4.861022
2013-11-15,The Best Man Holiday,17.0,71.625195
2013-11-15,The Hunger Games: Catching Fire,130.0,847.423452
2013-11-16,Saving Mr. Banks,35.0,112.54458
2013-11-17,Minuscule: Valley of the Lost Ants,19.7,30.0
2013-11-23,The Tale of the Princess Kaguya,49.3,24.186232
2013-11-27,Black Nativity,17.5,7.018189
2013-11-27,Homefront,22.0,43.058898
2013-11-27,Frozen,150.0,1274.219009
2013-12-05,The Adventurer: The Curse of the Midas Box,25.0,0.006399
2013-12-05,Lucky Island,2.0,4.803665
2013-12-06,47 Ronin,175.0,150.962475
2013-12-06,Mandela: Long Walk to Freedom,35.0,27.33
2013-12-06,Out of the Furnace,22.0,15.4
2013-12-11,The Hobbit: The Desolation of Smaug,250.0,958.4
2013-12-12,American Hustle,40.0,251.171807
2013-12-17,F.C. De Kampioenen: Kampioen zijn blijft plezant,3.849796,7.471304
2013-12-18,Her,23.0,47.351251
2013-12-18,Anchorman 2: The Legend Continues,50.0,173.649015
2013-12-18,Walking With Dinosaurs,80.0,126.546518
2013-12-18,Dhoom 3,19.5,91.0
2013-12-18,The Secret Life of Walter Mitty,90.0,188.133322
2013-12-19,Drishyam,0.75,12.0
2013-12-24,Lone Survivor,40.0,149.295601
2013-12-25,The Physician,32.0,57.284237
2013-12-25,The Wolf of Wall Street,100.0,392.000694
2013-12-25,Grudge Match,40.0,44.90726
2013-12-26,August: Osage County,25.0,74.188937
2013-12-26,The Railway Man,18.0,22.309223
2013-12-27,Labor Day,18.0,20.275812
2014-01-01,Faster than Rabbits,3.0,5.279982
2014-01-01,Paranormal Activity: The Marked Ones,5.0,86.362372
2014-01-02,The Zero Theorem,8.5,0.770706
2014-01-07,Ride Along,25.0,153.997819
2014-01-08,Devil's Due,7.0,36.433975
2014-01-08,Yves Saint Laurent,12.0,21.02629
2014-01-09,Human Capital,6.0,5.80933
2014-01-10,The Legend of Hercules,70.0,61.279452
2014-01-10,Veeram,5.9,19.0
2014-01-15,Jack Ryan: Shadow Recruit,60.0,50.549107
2014-01-18,Wish I Was Here,5.5,5.483299
2014-01-18,Infinitely Polar Bear,6.7,1.430655
2014-01-19,A Girl Walks Home Alone at Night,1.0,0.395
2014-01-20,Song One,6.0,0.032251
2014-01-22,"I, Frankenstein",65.0,71.154592
2014-01-24,The Monuments Men,70.0,154.984035
2014-01-26,Non-Stop,50.0,222.8096
2014-01-29,That Awkward Moment,8.0,26.049082
2014-01-30,RoboCop,120.0,242.688965
2014-01-30,Forbidden Kingdom,26.0,34.592118
2014-02-02,Justice League: War,3.5,5.155325
2014-02-02,Barefoot,6.0,0.015071
2014-02-06,The Lego Movie,60.0,469.160692
2014-02-07,Mr. Peabody & Sherman,145.0,272.91243
2014-02-07,Ohm Shanthi Oshaana,0.22,1.5
2014-02-12,Aloft,8.0,0.053086
2014-02-12,Endless Love,20.0,34.07792
2014-02-12,Beauty and the Beast,33.0,49.1
2014-02-13,Winter's Tale,60.0,30.800231
2014-02-14,About Last Night,12.5,49.002684
2014-02-14,3 Days to Kill,28.0,52.597999
2014-02-18,Pompeii,130.0,117.831631
2014-02-26,The Grand Budapest Hotel,30.0,174.600318
2014-02-27,Easy on the Eyes,2.153912,4.86456
2014-02-28,Son of God,22.0,67.800064
2014-02-28,Repentance,5.0,1.189612
2014-03-05,300: Rise of an Empire,110.0,337.580051
2014-03-13,Need for Speed,66.0,203.277636
2014-03-13,Veronica Mars,6.0,3.485127
2014-03-14,Better Living Through Chemistry,5.0,0.075143
2014-03-14,Under the Skin,13.3,5.380251
2014-03-14,Divergent,85.0,288.747895
2014-03-15,The Signal,4.0,0.600896
2014-03-19,Rio 2,103.0,500.188435
2014-03-20,Muppets Most Wanted,50.0,80.38329
2014-03-20,Captain America: The Winter Soldier,170.0,714.766572
2014-03-20,Noah,125.0,362.637473
2014-03-21,God's Not Dead,17.0,29.789
2014-03-21,50 to 1,10.0,1.064454
2014-03-25,Parts Per Billion,0.5,15.0
2014-03-25,Moms' Night Out,5.0,10.429707
2014-03-27,The Raid 2,4.5,2.627209
2014-03-28,Sabotage,35.0,17.508518
2014-04-01,The Quiet Ones,0.2,17.834867
2014-04-04,Afflicted,0.318,0.121179
2014-04-10,Locke,2.0,4.6353
2014-04-11,Draft Day,25.0,28.831145
2014-04-11,Joe,4.0,2.365467
2014-04-16,Heaven is for Real,12.0,101.332962
2014-04-16,Transcendence,100.0,103.039258
2014-04-16,The Amazing Spider-Man 2,200.0,705.717432
2014-04-16,The Other Woman,40.0,196.781193
2014-04-17,Black Rose,7.0,0.85545
2014-04-18,13 Sins,5.0,0.013809
2014-04-22,Brick Mansions,28.0,68.896829
2014-04-30,Barbecue,6.0,14.348529
2014-05-02,Decoding Annie Parker,2.0,0.04839
2014-05-02,Walk of Shame,15.0,0.059209
2014-05-08,Neighbors,18.0,268.1574
2014-05-08,Chef,11.0,45.967935
2014-05-09,Million Dollar Arm,25.0,38.307627
2014-05-14,Godzilla,160.0,529.076069
2014-05-15,X-Men: Days of Future Past,250.0,747.862775
2014-05-16,The Fault in Our Stars,12.0,307.166834
2014-05-18,The Rover,12.25,2.295423
2014-05-18,The Homesman,16.0,3.442853
2014-05-19,Foxcatcher,24.0,12.0963
2014-05-21,Blended,40.0,123.49461
2014-05-21,"Two Days, One Night",7.0,6.860853
2014-05-22,The Salvation,10.5,42.07
2014-05-22,The Babadook,2.0,6.676471
2014-05-22,Mommy,4.9,3.49407
2014-05-23,Heropanti,4.2,10.0
2014-05-27,Edge of Tomorrow,178.0,370.541256
2014-05-28,Maleficent,180.0,758.539785
2014-05-30,Bangalore Days,7.4,1.3
2014-05-30,The Grand Seduction,12.7,3.430018
2014-06-04,French Women,5.0,12.058187
2014-06-05,22 Jump Street,50.0,188.441614
2014-06-05,Boyhood,4.0,44.349
2014-06-05,All at Once,0.75,3e-06
2014-06-05,Jersey Boys,40.0,67.347013
2014-06-12,How to Train Your Dragon 2,145.0,609.123048
2014-06-12,White God,2.2,0.282358
2014-06-14,Earth to Echo,13.0,45.3
2014-06-20,Think Like a Man Too,24.0,70.181428
2014-06-25,Transformers: Age of Extinction,210.0,1091.405097
2014-06-26,Dawn of the Planet of the Apes,170.0,710.644566
2014-06-27,Mrs. Brown's Boys D'Movie,5.9,23.0
2014-07-02,Tammy,20.0,100.525432
2014-07-14,Lucy,40.0,126.546825
2014-07-16,Step Up All In,45.0,86.165646
2014-07-17,The Purge: Anarchy,9.0,108.782847
2014-07-17,Sex Tape,40.0,126.069509
2014-07-17,Planes: Fire & Rescue,50.0,151.165787
2014-07-19,Duniyadari,0.39,3e-06
2014-07-20,And So It Goes,18.0,25.312387
2014-07-23,Hercules,100.0,243.4
2014-07-25,Kick,22.0,55.0
2014-07-25,A Most Wanted Man,15.0,31.554855
2014-07-25,Magic in the Moonlight,16.8,51.029361
2014-07-30,Guardians of the Galaxy,170.0,773.328629
2014-07-30,The Admiral: Roaring Currents,9.5,112.156811
2014-08-04,The Expendables 3,90.0,206.172544
2014-08-06,The Hundred-Foot Journey,22.0,88.880821
2014-08-06,Into the Storm,50.0,160.602194
2014-08-07,Teenage Mutant Ninja Turtles,125.0,477.2
2014-08-08,Stand by Me Doraemon,35.0,83.061158
2014-08-11,The Giver,25.0,66.980456
2014-08-13,Let's Be Cops,17.0,136.621271
2014-08-14,"As Above, So Below",5.0,40.1
2014-08-15,Life After Beth,2.4,0.088273
2014-08-20,Clouds of Sils Maria,6.6,1.851517
2014-08-20,Sin City: A Dame to Kill For,65.0,39.407616
2014-08-21,"Kidnapping, Caucasian Style",3.5,0.179
2014-08-21,If I Stay,11.0,78.874843
2014-08-22,The Prince,18.0,266.5868
2014-08-22,When the Game Stands Tall,15.0,30.127963
2014-08-27,The November Man,15.0,32.556119
2014-08-27,Birdman,18.0,103.215094
2014-08-28,Predestination,5.5,3.0
2014-08-29,Raja Natwarlal,5e-06,4e-06
2014-09-03,Before I Go to Sleep,22.0,15.447154
2014-09-04,The Green Inferno,5.0,6.833445
2014-09-05,Big Game,8.5,7.5
2014-09-05,5 Flights Up,6.0,1.020921
2014-09-05,Mary Kom,0.224056,15.536328
2014-09-06,Black or White,9.0,21.571189
2014-09-07,Cake,7.0,2.360281
2014-09-07,Miss Julie,5.5,5.0
2014-09-09,My Old Lady,5.0,7.527232
2014-09-10,Gemma Bovery,9.7,0.154701
2014-09-10,The Boxtrolls,60.0,108.25577
2014-09-10,This Is Where I Leave You,19.8,41.29632
2014-09-10,Beyond the Lights,7.0,14.618727
2014-09-10,No Good Deed,13.2,53.830415
2014-09-10,The Maze Runner,34.0,348.319861
2014-09-12,Dolphin Tale 2,36.0,52.424533
2014-09-12,The Drop,12.6,19.054534
2014-09-12,Honeymoon,1.0,0.009318
2014-09-12,Atlas Shrugged Part III: Who is John Galt?,5.0,0.846704
2014-09-17,The Guest,5.0,2.367161
2014-09-18,A Walk Among the Tombstones,28.0,53.1816
2014-09-19,Tusk,2.8,1.826705
2014-09-24,The Equalizer,55.0,192.330738
2014-09-25,Marshland,4.0,5.169755
2014-10-01,The Book of Life,50.0,97.437106
2014-10-01,Dracula Untold,70.0,215.529201
2014-10-01,Gone Girl,61.0,369.330363
2014-10-02,Annabelle,6.5,255.273813
2014-10-03,Torrente 5: Operación Eurovegas,9.272437,11.672363
2014-10-03,Left Behind,16.0,19.682924
2014-10-06,Na Maloom Afraad,0.88413,2.259444
2014-10-08,The Judge,50.0,83.719388
2014-10-08,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",28.0,100.654149
2014-10-09,99 Homes,8.0,1.411927
2014-10-09,Kill the Messenger,5.0,2.450846
2014-10-09,St. Vincent,13.0,54.837234
2014-10-10,Whiplash,3.3,13.092
2014-10-11,Escobar: Paradise Lost,17.0,3.758328
2014-10-14,The Loft,14.0,10.07679
2014-10-15,Samba,20.0,0.15153
2014-10-15,Fury,68.0,211.817906
2014-10-16,The Best of Me,26.0,35.926213
2014-10-17,Camp X-Ray,1.0,0.059744
2014-10-20,Treehouse,3.25,3.25
2014-10-22,John Wick,20.0,88.761661
2014-10-23,Nightcrawler,8.5,38.697217
2014-10-24,Ouija,5.0,103.590271
2014-10-24,Big Hero 6,165.0,652.105443
2014-10-31,Kung Fu Jungle,25.0,0.129115
2014-11-05,Interstellar,165.0,675.120017
2014-11-05,Suite Française,15.0,9.104716
2014-11-08,The Opposite Sex,3.3,0.045
2014-11-12,The Guide,0.722083,0.499168
2014-11-12,Dumb and Dumber To,40.0,169.83701
2014-11-14,The Imitation Game,14.0,233.555708
2014-11-18,The Hunger Games: Mockingjay - Part 1,125.0,752.100229
2014-11-22,Penguins of Madagascar,132.0,373.552094
2014-11-26,The Theory of Everything,15.0,123.726688
2014-11-26,Horrible Bosses 2,42.0,107.670357
2014-11-27,Paddington,55.0,259.207227
2014-11-28,Zid,1.556288,1.268395
2014-12-03,Exodus: Gods and Kings,140.0,268.031828
2014-12-04,The Pyramid,6.5,13.865435
2014-12-05,Still Alice,5.0,43.884652
2014-12-05,Wild,15.0,52.501541
2014-12-10,The Hobbit: The Battle of the Five Armies,250.0,956.019788
2014-12-11,American Sniper,58.8,542.307423
2014-12-12,Seventh Son,95.0,114.178613
2014-12-16,Taken 3,48.0,325.771424
2014-12-17,Night at the Museum: Secret of the Tomb,127.0,349.424282
2014-12-18,PK,13.0,120.0
2014-12-19,Annie,65.0,133.821816
2014-12-24,Big Eyes,10.0,28.883511
2014-12-25,The Interview,44.0,12.342632
2014-12-25,Unbroken,65.0,163.442937
2014-12-25,Inherent Vice,20.0,11.110975
2014-12-25,The Gambler,25.0,39.17113
2014-12-25,Selma,20.0,66.787908
2014-12-25,Into the Woods,50.0,212.902372
2014-12-25,The Water Diviner,22.5,15.520023
2014-12-30,The Woman in Black 2: Angel of Death,1.0,26.501323
2014-12-30,A Most Violent Year,20.0,12.00707
2015-01-13,Blackhat,70.0,17.75294
2015-01-15,Tracers,11.0,0.593683
2015-01-16,The Wedding Ringer,23.0,79.79988
2015-01-21,Mortdecai,60.0,30.41856
2015-01-21,Ex Machina,15.0,36.869414
2015-01-22,Aferim!,1.379375,0.105097
2015-01-23,The Boy Next Door,4.0,52.425855
2015-01-29,Italiano medio,1.81672,4.5418
2015-01-29,Kingsman: The Secret Service,81.0,414.351546
